DAY,VOLUME
1,6.5683
2,6.5671
3,6.5659
4,6.5648
5,6.5637
6,6.5661
7,6.5649
8,6.5638
9,6.5628
10,6.5617
11,6.5608
12,6.5598
13,6.5589
14,6.558
15,6.5571
16,6.5563
17,6.5555
18,6.5547
19,6.5539
20,6.5531
21,6.5524
22,6.5517
23,6.5509
24,6.5503
25,6.5496
26,6.5489
27,6.5483
28,6.5476
29,6.547
30,6.5464
31,6.5462
32,6.5463
33,6.5457
34,6.5452
35,6.5446
36,6.5441
37,6.5435
38,6.543
39,6.5424
40,6.5419
41,6.5414
42,6.5409
43,6.5404
44,6.5399
45,6.5394
46,6.5389
47,6.5385
48,6.538
49,6.5376
50,6.5371
51,6.5367
52,6.5362
53,6.5358
54,6.5354
55,6.535
56,6.5345
57,6.5341
58,6.5337
59,6.5333
60,6.5329
61,6.5326
62,6.5322
63,6.5318
64,6.5314
65,6.5311
66,6.5318
67,6.5336
68,6.5332
69,6.5328
70,6.5324
71,6.5322
72,6.5318
73,6.5315
74,6.5311
75,6.5307
76,6.5304
77,6.53
78,6.5297
79,6.5293
80,6.529
81,6.5286
82,6.5283
83,6.528
84,6.5279
85,6.5277
86,6.5273
87,6.5273
88,6.527
89,6.5267
90,6.5264
91,6.5269
92,6.5267
93,6.5264
94,6.5261
95,6.5263
96,6.526
97,6.5257
98,6.5289
99,6.5289
100,6.5287
101,6.5284
102,6.5281
103,6.5278
104,6.5276
105,6.5274
106,6.5271
107,6.527
108,6.5269
109,6.5266
110,6.5263
111,6.526
112,6.5256
113,6.5253
114,6.525
115,6.5247
116,6.5246
117,6.5246
118,6.5243
119,6.524
120,6.5238
121,6.527
122,6.5267
123,6.5267
124,6.5303
125,6.5306
126,6.5303
127,6.5299
128,6.53
129,6.5299
130,6.5296
131,6.5294
132,6.5293
133,6.5305
134,6.5334
135,6.5333
136,6.5329
137,6.5328
138,6.534
139,6.5341
140,6.5339
141,6.5341
142,6.5337
143,6.5333
144,6.5331
145,6.5328
146,6.5328
147,6.5332
148,6.5334
149,6.533
150,6.5334
151,6.533
152,6.5326
153,6.5323
154,6.5335
155,6.5331
156,6.5327
157,6.5353
158,6.5349
159,6.5345
160,6.5384
161,6.538
162,6.5375
163,6.537
164,6.5388
165,6.5383
166,6.5378
167,6.5374
168,6.5369
169,6.5365
170,6.536
171,6.5359
172,6.5355
173,6.5351
174,6.5347
175,6.5355
176,6.535
177,6.5346
178,6.5342
179,6.5341
180,6.5342
181,6.5338
182,6.5334
183,6.5333
184,6.5329
185,6.5326
186,6.536
187,6.5388
188,6.5383
189,6.5382
190,6.5377
191,6.5375
192,6.537
193,6.5366
194,6.5362
195,6.5357
196,6.5355
197,6.5402
198,6.5398
199,6.5393
200,6.5392
201,6.5388
202,6.5383
203,6.5416
204,6.5412
205,6.5407
206,6.5402
207,6.539527273
208,6.539893388
209,6.539865515
210,6.539871471
211,6.539923422
212,6.539989188
213,6.540097296
214,6.540260687
215,6.540138931
216,6.54004247
217,6.539982695
218,6.53996294
219,6.540002546
220,6.540012469
221,6.540025828
222,6.540039861
223,6.540050446
224,6.540056015
225,6.540052262
226,6.540033315
227,6.540023713
228,6.540022008
229,6.540025582
230,6.540031277
231,6.540033889
232,6.5452
233,6.5446
234,6.544
235,6.5451
236,6.5457
237,6.5456
238,6.5482
239,6.5493
240,6.5488
241,6.5481
242,6.5475
243,6.5469
244,6.5479
245,6.5474
246,6.5468
247,6.5461
248,6.5456
249,6.545
250,6.5445
251,6.544
252,6.5435
253,6.5433
254,6.5428
255,6.5422
256,6.5418
257,6.5413
258,6.5408
259,6.5403
260,6.5398
261,6.5393
262,6.5389
263,6.5386
264,6.5381
265,6.5376
266,6.5373
267,6.537
268,6.5366
269,6.5361
270,6.5357
271,6.5354
272,6.535
273,6.5347
274,6.5343
275,6.5339
276,6.5335
277,6.5331
278,6.5335
279,6.5331
280,6.5328
281,6.5324
282,6.5322
283,6.5319
284,6.5317
285,6.5318
286,6.5332
287,6.5356
288,6.5352
289,6.5349
290,6.5351
291,6.537
292,6.5365
293,6.5361
294,6.5357
295,6.5354
296,6.5349
297,6.5345
298,6.5341
299,6.5337
300,6.5334
301,6.5335
302,6.5332
303,6.533
304,6.536
305,6.5421
306,6.5418
307,6.5413
308,6.5408
309,6.5403
310,6.5399
311,6.5399
312,6.5394
313,6.5395
314,6.539
315,6.5385
316,6.5394
317,6.539
318,6.5385
319,6.538
320,6.5376
321,6.5371
322,6.5367
323,6.5362
324,6.5358
325,6.5354
326,6.535
327,6.5346
328,6.5341
329,6.5337
330,6.5333
331,6.533
332,6.5345
333,6.5342
334,6.5339
335,6.5344
336,6.534
337,6.5346
338,6.5342
339,6.5338
340,6.5334
341,6.534
342,6.5353
343,6.5349
344,6.5345
345,6.5345
346,6.5341
347,6.5345
348,6.5348
349,6.5345
350,6.5341
351,6.5337
352,6.5333
353,6.5329
354,6.5325
355,6.5321
356,6.5318
357,6.5314
358,6.5311
359,6.5309
360,6.5305
361,6.5302
362,6.5298
363,6.5295
364,6.5291
365,6.5291